mesh_heading,tree_number,major_tree_number,major_mesh_heading
"Hydatidiform Mole, Invasive",C04.850.908.416.750.500,C04,Neoplasms
Musculoskeletal Diseases,C05,C05,Musculoskeletal Diseases
Bone Diseases,C05.116,C05,Musculoskeletal Diseases
Bone Cysts,C05.116.070,C05,Musculoskeletal Diseases
"Bone Cysts, Aneurysmal",C05.116.070.265,C05,Musculoskeletal Diseases
"Bone Diseases, Developmental",C05.116.099,C05,Musculoskeletal Diseases
Acro-Osteolysis,C05.116.099.052,C05,Musculoskeletal Diseases
Hajdu-Cheney Syndrome,C05.116.099.052.400,C05,Musculoskeletal Diseases
Basal Cell Nevus Syndrome,C05.116.099.105,C05,Musculoskeletal Diseases
Dwarfism,C05.116.099.343,C05,Musculoskeletal Diseases
Achondroplasia,C05.116.099.343.110,C05,Musculoskeletal Diseases
Thanatophoric Dysplasia,C05.116.099.343.110.500,C05,Musculoskeletal Diseases
Cockayne Syndrome,C05.116.099.343.250,C05,Musculoskeletal Diseases
Congenital Hypothyroidism,C05.116.099.343.347,C05,Musculoskeletal Diseases
"Dwarfism, Pituitary",C05.116.099.343.445,C05,Musculoskeletal Diseases
Laron Syndrome,C05.116.099.343.679,C05,Musculoskeletal Diseases
Mulibrey Nanism,C05.116.099.343.796,C05,Musculoskeletal Diseases
Weill-Marchesani Syndrome,C05.116.099.343.957,C05,Musculoskeletal Diseases
Dysostoses,C05.116.099.370,C05,Musculoskeletal Diseases
Craniofacial Dysostosis,C05.116.099.370.231,C05,Musculoskeletal Diseases
Hallermann's Syndrome,C05.116.099.370.231.427,C05,Musculoskeletal Diseases
Hypertelorism,C05.116.099.370.231.480,C05,Musculoskeletal Diseases
Mandibulofacial Dysostosis,C05.116.099.370.231.576,C05,Musculoskeletal Diseases
Goldenhar Syndrome,C05.116.099.370.231.576.410,C05,Musculoskeletal Diseases
Focal Dermal Hypoplasia,C05.116.099.370.380,C05,Musculoskeletal Diseases
Klippel-Feil Syndrome,C05.116.099.370.535,C05,Musculoskeletal Diseases
Orofaciodigital Syndromes,C05.116.099.370.652,C05,Musculoskeletal Diseases
Rubinstein-Taybi Syndrome,C05.116.099.370.797,C05,Musculoskeletal Diseases
Synostosis,C05.116.099.370.894,C05,Musculoskeletal Diseases
Antley-Bixler Syndrome Phenotype,C05.116.099.370.894.115,C05,Musculoskeletal Diseases
Craniosynostoses,C05.116.099.370.894.232,C05,Musculoskeletal Diseases
Acrocephalosyndactylia,C05.116.099.370.894.232.015,C05,Musculoskeletal Diseases
Syndactyly,C05.116.099.370.894.819,C05,Musculoskeletal Diseases
Acrocephalosyndactylia,C05.116.099.370.894.819.100,C05,Musculoskeletal Diseases
Fraser Syndrome,C05.116.099.370.894.819.428,C05,Musculoskeletal Diseases
Poland Syndrome,C05.116.099.370.894.819.756,C05,Musculoskeletal Diseases
Tarsal Coalition,C05.116.099.370.894.909,C05,Musculoskeletal Diseases
Funnel Chest,C05.116.099.386,C05,Musculoskeletal Diseases
Gigantism,C05.116.099.492,C05,Musculoskeletal Diseases
Leg Length Inequality,C05.116.099.655,C05,Musculoskeletal Diseases
Marfan Syndrome,C05.116.099.674,C05,Musculoskeletal Diseases
Osteochondrodysplasias,C05.116.099.708,C05,Musculoskeletal Diseases
Achondroplasia,C05.116.099.708.017,C05,Musculoskeletal Diseases
Thanatophoric Dysplasia,C05.116.099.708.017.500,C05,Musculoskeletal Diseases
Acquired Hyperostosis Syndrome,C05.116.099.708.025,C05,Musculoskeletal Diseases
Camurati-Engelmann Syndrome,C05.116.099.708.180,C05,Musculoskeletal Diseases
Chondrodysplasia Punctata,C05.116.099.708.195,C05,Musculoskeletal Diseases
"Chondrodysplasia Punctata, Rhizomelic",C05.116.099.708.195.200,C05,Musculoskeletal Diseases
Cleidocranial Dysplasia,C05.116.099.708.207,C05,Musculoskeletal Diseases
Ellis-Van Creveld Syndrome,C05.116.099.708.327,C05,Musculoskeletal Diseases
Enchondromatosis,C05.116.099.708.338,C05,Musculoskeletal Diseases
Fibrous Dysplasia of Bone,C05.116.099.708.375,C05,Musculoskeletal Diseases
Cherubism,C05.116.099.708.375.199,C05,Musculoskeletal Diseases
Craniofacial Fibrous Dysplasia,C05.116.099.708.375.286,C05,Musculoskeletal Diseases
"Fibrous Dysplasia, Monostotic",C05.116.099.708.375.372,C05,Musculoskeletal Diseases
"Fibrous Dysplasia, Polyostotic",C05.116.099.708.375.381,C05,Musculoskeletal Diseases
"Hyperostosis, Cortical, Congenital",C05.116.099.708.479,C05,Musculoskeletal Diseases
Hyperostosis Frontalis Interna,C05.116.099.708.486,C05,Musculoskeletal Diseases
Kashin-Beck Disease,C05.116.099.708.534,C05,Musculoskeletal Diseases
Langer-Giedion Syndrome,C05.116.099.708.582,C05,Musculoskeletal Diseases
Osteochondroma,C05.116.099.708.670,C05,Musculoskeletal Diseases
Osteochondromatosis,C05.116.099.708.670.615,C05,Musculoskeletal Diseases
"Exostoses, Multiple Hereditary",C05.116.099.708.670.615.325,C05,Musculoskeletal Diseases
Osteogenesis Imperfecta,C05.116.099.708.685,C05,Musculoskeletal Diseases
Osteosclerosis,C05.116.099.708.702,C05,Musculoskeletal Diseases
Melorheostosis,C05.116.099.708.702.593,C05,Musculoskeletal Diseases
Osteopetrosis,C05.116.099.708.702.678,C05,Musculoskeletal Diseases
Osteopoikilosis,C05.116.099.708.702.685,C05,Musculoskeletal Diseases
Pycnodysostosis,C05.116.099.708.779,C05,Musculoskeletal Diseases
Short Rib-Polydactyly Syndrome,C05.116.099.708.857,C05,Musculoskeletal Diseases
Slipped Capital Femoral Epiphyses,C05.116.099.708.928,C05,Musculoskeletal Diseases
"Osteolysis, Essential",C05.116.099.736,C05,Musculoskeletal Diseases
Pectus Carinatum,C05.116.099.739,C05,Musculoskeletal Diseases
Platybasia,C05.116.099.742,C05,Musculoskeletal Diseases
Proteus Syndrome,C05.116.099.750,C05,Musculoskeletal Diseases
"Bone Diseases, Endocrine",C05.116.132,C05,Musculoskeletal Diseases
Acromegaly,C05.116.132.082,C05,Musculoskeletal Diseases
Congenital Hypothyroidism,C05.116.132.256,C05,Musculoskeletal Diseases
"Dwarfism, Pituitary",C05.116.132.358,C05,Musculoskeletal Diseases
Gigantism,C05.116.132.479,C05,Musculoskeletal Diseases
Osteitis Fibrosa Cystica,C05.116.132.684,C05,Musculoskeletal Diseases
"Bone Diseases, Infectious",C05.116.165,C05,Musculoskeletal Diseases
Osteomyelitis,C05.116.165.495,C05,Musculoskeletal Diseases
Mastoiditis,C05.116.165.495.249,C05,Musculoskeletal Diseases
Petrositis,C05.116.165.495.500,C05,Musculoskeletal Diseases
Pott Puffy Tumor,C05.116.165.495.750,C05,Musculoskeletal Diseases
Periostitis,C05.116.165.595,C05,Musculoskeletal Diseases
Spondylitis,C05.116.165.762,C05,Musculoskeletal Diseases
Discitis,C05.116.165.762.301,C05,Musculoskeletal Diseases
"Tuberculosis, Osteoarticular",C05.116.165.886,C05,Musculoskeletal Diseases
"Tuberculosis, Spinal",C05.116.165.886.722,C05,Musculoskeletal Diseases
"Bone Diseases, Metabolic",C05.116.198,C05,Musculoskeletal Diseases
"Bone Demineralization, Pathologic",C05.116.198.247,C05,Musculoskeletal Diseases
"Decalcification, Pathologic",C05.116.198.247.400,C05,Musculoskeletal Diseases
Mucolipidoses,C05.116.198.371,C05,Musculoskeletal Diseases
Osteoporosis,C05.116.198.579,C05,Musculoskeletal Diseases
"Osteoporosis, Postmenopausal",C05.116.198.579.610,C05,Musculoskeletal Diseases
Pseudohypoparathyroidism,C05.116.198.709,C05,Musculoskeletal Diseases
Pseudopseudohypoparathyroidism,C05.116.198.709.628,C05,Musculoskeletal Diseases
Rickets,C05.116.198.816,C05,Musculoskeletal Diseases
Osteomalacia,C05.116.198.816.640,C05,Musculoskeletal Diseases
Chronic Kidney Disease-Mineral and Bone Disorder,C05.116.198.816.750,C05,Musculoskeletal Diseases
"Rickets, Hypophosphatemic",C05.116.198.816.875,C05,Musculoskeletal Diseases
Familial Hypophosphatemic Rickets,C05.116.198.816.875.500,C05,Musculoskeletal Diseases
Bone Malalignment,C05.116.214,C05,Musculoskeletal Diseases
Bone Anteversion,C05.116.214.500,C05,Musculoskeletal Diseases
Coxa Vara,C05.116.214.500.500,C05,Musculoskeletal Diseases
Bone Retroversion,C05.116.214.750,C05,Musculoskeletal Diseases
Coxa Valga,C05.116.214.750.500,C05,Musculoskeletal Diseases
Bone Neoplasms,C05.116.231,C05,Musculoskeletal Diseases
Adamantinoma,C05.116.231.030,C05,Musculoskeletal Diseases
Femoral Neoplasms,C05.116.231.343,C05,Musculoskeletal Diseases
Skull Neoplasms,C05.116.231.754,C05,Musculoskeletal Diseases
Jaw Neoplasms,C05.116.231.754.450,C05,Musculoskeletal Diseases
Mandibular Neoplasms,C05.116.231.754.450.583,C05,Musculoskeletal Diseases
Maxillary Neoplasms,C05.116.231.754.450.601,C05,Musculoskeletal Diseases
Palatal Neoplasms,C05.116.231.754.450.692,C05,Musculoskeletal Diseases
Nose Neoplasms,C05.116.231.754.600,C05,Musculoskeletal Diseases
Orbital Neoplasms,C05.116.231.754.659,C05,Musculoskeletal Diseases
Skull Base Neoplasms,C05.116.231.754.829,C05,Musculoskeletal Diseases
Spinal Neoplasms,C05.116.231.828,C05,Musculoskeletal Diseases
Bone Resorption,C05.116.264,C05,Musculoskeletal Diseases
Ainhum,C05.116.264.143,C05,Musculoskeletal Diseases
Alveolar Bone Loss,C05.116.264.150,C05,Musculoskeletal Diseases
Osteolysis,C05.116.264.579,C05,Musculoskeletal Diseases
Acro-Osteolysis,C05.116.264.579.052,C05,Musculoskeletal Diseases
Hajdu-Cheney Syndrome,C05.116.264.579.052.400,C05,Musculoskeletal Diseases
"Osteolysis, Essential",C05.116.264.579.704,C05,Musculoskeletal Diseases
Coxa Magna,C05.116.296,C05,Musculoskeletal Diseases
Coxa Valga,C05.116.327,C05,Musculoskeletal Diseases
Eosinophilic Granuloma,C05.116.391,C05,Musculoskeletal Diseases
"Epiphyses, Slipped",C05.116.425,C05,Musculoskeletal Diseases
Slipped Capital Femoral Epiphyses,C05.116.425.500,C05,Musculoskeletal Diseases
Genu Valgum,C05.116.482,C05,Musculoskeletal Diseases
Genu Varum,C05.116.511,C05,Musculoskeletal Diseases
Hyperostosis,C05.116.540,C05,Musculoskeletal Diseases
Exostoses,C05.116.540.310,C05,Musculoskeletal Diseases
"Exostoses, Multiple Hereditary",C05.116.540.310.500,C05,Musculoskeletal Diseases
Heel Spur,C05.116.540.310.600,C05,Musculoskeletal Diseases
Osteophyte,C05.116.540.310.800,C05,Musculoskeletal Diseases
"Hyperostosis, Cortical, Congenital",C05.116.540.400,C05,Musculoskeletal Diseases
"Hyperostosis, Diffuse Idiopathic Skeletal",C05.116.540.410,C05,Musculoskeletal Diseases
Hyperostosis Frontalis Interna,C05.116.540.420,C05,Musculoskeletal Diseases
"Hyperostosis, Sternocostoclavicular",C05.116.540.600,C05,Musculoskeletal Diseases
Osteitis,C05.116.680,C05,Musculoskeletal Diseases
Osteitis Deformans,C05.116.692,C05,Musculoskeletal Diseases
"Osteoarthropathy, Primary Hypertrophic",C05.116.725,C05,Musculoskeletal Diseases
"Osteoarthropathy, Secondary Hypertrophic",C05.116.758,C05,Musculoskeletal Diseases
Osteochondritis,C05.116.791,C05,Musculoskeletal Diseases
Osteochondritis Dissecans,C05.116.791.668,C05,Musculoskeletal Diseases
Osteochondrosis,C05.116.821,C05,Musculoskeletal Diseases
Spinal Osteochondrosis,C05.116.821.500,C05,Musculoskeletal Diseases
Scheuermann Disease,C05.116.821.500.500,C05,Musculoskeletal Diseases
Osteonecrosis,C05.116.852,C05,Musculoskeletal Diseases
Bisphosphonate-Associated Osteonecrosis of the Jaw,C05.116.852.087,C05,Musculoskeletal Diseases
Femur Head Necrosis,C05.116.852.175,C05,Musculoskeletal Diseases
Legg-Calve-Perthes Disease,C05.116.852.175.570,C05,Musculoskeletal Diseases
Spinal Diseases,C05.116.900,C05,Musculoskeletal Diseases
Intervertebral Disc Degeneration,C05.116.900.153,C05,Musculoskeletal Diseases
Intervertebral Disc Displacement,C05.116.900.307,C05,Musculoskeletal Diseases
Ossification of Posterior Longitudinal Ligament,C05.116.900.480,C05,Musculoskeletal Diseases
Platybasia,C05.116.900.540,C05,Musculoskeletal Diseases
Posterior Cervical Sympathetic Syndrome,C05.116.900.596,C05,Musculoskeletal Diseases
Spinal Curvatures,C05.116.900.800,C05,Musculoskeletal Diseases
Kyphosis,C05.116.900.800.500,C05,Musculoskeletal Diseases
Scheuermann Disease,C05.116.900.800.500.500,C05,Musculoskeletal Diseases
Lordosis,C05.116.900.800.750,C05,Musculoskeletal Diseases
Scoliosis,C05.116.900.800.875,C05,Musculoskeletal Diseases
Spinal Neoplasms,C05.116.900.801,C05,Musculoskeletal Diseases
Spinal Osteochondrosis,C05.116.900.808,C05,Musculoskeletal Diseases
Scheuermann Disease,C05.116.900.808.500,C05,Musculoskeletal Diseases
Spinal Osteophytosis,C05.116.900.815,C05,Musculoskeletal Diseases
"Hyperostosis, Diffuse Idiopathic Skeletal",C05.116.900.815.651,C05,Musculoskeletal Diseases
Spinal Stenosis,C05.116.900.825,C05,Musculoskeletal Diseases
Spondylitis,C05.116.900.853,C05,Musculoskeletal Diseases
Discitis,C05.116.900.853.500,C05,Musculoskeletal Diseases
Spondylarthritis,C05.116.900.853.625,C05,Musculoskeletal Diseases
"Osteoarthritis, Spine",C05.116.900.853.625.399,C05,Musculoskeletal Diseases
Spondylarthropathies,C05.116.900.853.625.800,C05,Musculoskeletal Diseases
"Arthritis, Psoriatic",C05.116.900.853.625.800.424,C05,Musculoskeletal Diseases
"Arthritis, Reactive",C05.116.900.853.625.800.637,C05,Musculoskeletal Diseases
Axial Spondyloarthritis,C05.116.900.853.625.800.744,C05,Musculoskeletal Diseases
Non-Radiographic Axial Spondyloarthritis,C05.116.900.853.625.800.744.250,C05,Musculoskeletal Diseases
"Spondylitis, Ankylosing",C05.116.900.853.625.800.744.500,C05,Musculoskeletal Diseases
"Tuberculosis, Spinal",C05.116.900.853.850,C05,Musculoskeletal Diseases
Spondylosis,C05.116.900.938,C05,Musculoskeletal Diseases
Spondylolysis,C05.116.900.938.500,C05,Musculoskeletal Diseases
Spondylolisthesis,C05.116.900.938.500.500,C05,Musculoskeletal Diseases
Cartilage Diseases,C05.182,C05,Musculoskeletal Diseases
Chondromalacia Patellae,C05.182.100,C05,Musculoskeletal Diseases
Laryngomalacia,C05.182.310,C05,Musculoskeletal Diseases
Osteochondritis,C05.182.520,C05,Musculoskeletal Diseases
Pectus Carinatum,C05.182.525,C05,Musculoskeletal Diseases
"Polychondritis, Relapsing",C05.182.531,C05,Musculoskeletal Diseases
Tietze's Syndrome,C05.182.790,C05,Musculoskeletal Diseases
Tracheobronchomalacia,C05.182.895,C05,Musculoskeletal Diseases
Bronchomalacia,C05.182.895.249,C05,Musculoskeletal Diseases
Tracheomalacia,C05.182.895.500,C05,Musculoskeletal Diseases
Fasciitis,C05.321,C05,Musculoskeletal Diseases
"Fasciitis, Necrotizing",C05.321.550,C05,Musculoskeletal Diseases
"Fasciitis, Plantar",C05.321.600,C05,Musculoskeletal Diseases
Foot Deformities,C05.330,C05,Musculoskeletal Diseases
"Foot Deformities, Acquired",C05.330.488,C05,Musculoskeletal Diseases
Bunion,C05.330.488.050,C05,Musculoskeletal Diseases
"Bunion, Tailor's",C05.330.488.050.500,C05,Musculoskeletal Diseases
Hallux Limitus,C05.330.488.300,C05,Musculoskeletal Diseases
Hallux Rigidus,C05.330.488.310,C05,Musculoskeletal Diseases
Talipes,C05.330.488.655,C05,Musculoskeletal Diseases
Clubfoot,C05.330.488.655.063,C05,Musculoskeletal Diseases
Equinus Deformity,C05.330.488.655.125,C05,Musculoskeletal Diseases
Flatfoot,C05.330.488.655.250,C05,Musculoskeletal Diseases
Talipes Cavus,C05.330.488.655.500,C05,Musculoskeletal Diseases
"Foot Deformities, Congenital",C05.330.495,C05,Musculoskeletal Diseases
Talipes,C05.330.495.681,C05,Musculoskeletal Diseases
Clubfoot,C05.330.495.681.063,C05,Musculoskeletal Diseases
Equinus Deformity,C05.330.495.681.125,C05,Musculoskeletal Diseases
Flatfoot,C05.330.495.681.250,C05,Musculoskeletal Diseases
Talipes Cavus,C05.330.495.681.500,C05,Musculoskeletal Diseases
Tarsal Coalition,C05.330.495.787,C05,Musculoskeletal Diseases
Hallux Valgus,C05.330.610,C05,Musculoskeletal Diseases
Hallux Varus,C05.330.612,C05,Musculoskeletal Diseases
Hammer Toe Syndrome,C05.330.615,C05,Musculoskeletal Diseases
Metatarsal Valgus,C05.330.663,C05,Musculoskeletal Diseases
Metatarsus Varus,C05.330.711,C05,Musculoskeletal Diseases
Foot Diseases,C05.360,C05,Musculoskeletal Diseases
"Fasciitis, Plantar",C05.360.350,C05,Musculoskeletal Diseases
"Fibromatosis, Plantar",C05.360.375,C05,Musculoskeletal Diseases
Heel Spur,C05.360.400,C05,Musculoskeletal Diseases
Metatarsalgia,C05.360.500,C05,Musculoskeletal Diseases
Morton Neuroma,C05.360.500.500,C05,Musculoskeletal Diseases
Posterior Tibial Tendon Dysfunction,C05.360.750,C05,Musculoskeletal Diseases
Hand Deformities,C05.390,C05,Musculoskeletal Diseases
"Hand Deformities, Acquired",C05.390.110,C05,Musculoskeletal Diseases
"Hand Deformities, Congenital",C05.390.408,C05,Musculoskeletal Diseases
Jaw Diseases,C05.500,C05,Musculoskeletal Diseases
Bisphosphonate-Associated Osteonecrosis of the Jaw,C05.500.086,C05,Musculoskeletal Diseases
Cherubism,C05.500.174,C05,Musculoskeletal Diseases
"Granuloma, Giant Cell",C05.500.368,C05,Musculoskeletal Diseases
Jaw Abnormalities,C05.500.460,C05,Musculoskeletal Diseases
Cleft Palate,C05.500.460.185,C05,Musculoskeletal Diseases
Micrognathism,C05.500.460.457,C05,Musculoskeletal Diseases
Pierre Robin Syndrome,C05.500.460.606,C05,Musculoskeletal Diseases
Prognathism,C05.500.460.655,C05,Musculoskeletal Diseases
Retrognathia,C05.500.460.827,C05,Musculoskeletal Diseases
Jaw Cysts,C05.500.470,C05,Musculoskeletal Diseases
Nonodontogenic Cysts,C05.500.470.660,C05,Musculoskeletal Diseases
Odontogenic Cysts,C05.500.470.690,C05,Musculoskeletal Diseases
Basal Cell Nevus Syndrome,C05.500.470.690.150,C05,Musculoskeletal Diseases
Dentigerous Cyst,C05.500.470.690.310,C05,Musculoskeletal Diseases
"Odontogenic Cyst, Calcifying",C05.500.470.690.605,C05,Musculoskeletal Diseases
Periodontal Cyst,C05.500.470.690.790,C05,Musculoskeletal Diseases
Radicular Cyst,C05.500.470.690.790.820,C05,Musculoskeletal Diseases
"Jaw, Edentulous",C05.500.480,C05,Musculoskeletal Diseases
"Jaw, Edentulous, Partially",C05.500.480.450,C05,Musculoskeletal Diseases
Jaw Neoplasms,C05.500.499,C05,Musculoskeletal Diseases
Mandibular Neoplasms,C05.500.499.583,C05,Musculoskeletal Diseases
Maxillary Neoplasms,C05.500.499.601,C05,Musculoskeletal Diseases
Palatal Neoplasms,C05.500.499.692,C05,Musculoskeletal Diseases
Mandibular Diseases,C05.500.607,C05,Musculoskeletal Diseases
Craniomandibular Disorders,C05.500.607.221,C05,Musculoskeletal Diseases
Temporomandibular Joint Disorders,C05.500.607.221.897,C05,Musculoskeletal Diseases
Temporomandibular Joint Dysfunction Syndrome,C05.500.607.221.897.897,C05,Musculoskeletal Diseases
Mandibular Neoplasms,C05.500.607.442,C05,Musculoskeletal Diseases
Prognathism,C05.500.607.655,C05,Musculoskeletal Diseases
Maxillary Diseases,C05.500.693,C05,Musculoskeletal Diseases
Maxillary Neoplasms,C05.500.693.528,C05,Musculoskeletal Diseases
Joint Diseases,C05.550,C05,Musculoskeletal Diseases
Ankylosis,C05.550.069,C05,Musculoskeletal Diseases
Axial Spondyloarthritis,C05.550.069.340,C05,Musculoskeletal Diseases
Non-Radiographic Axial Spondyloarthritis,C05.550.069.340.250,C05,Musculoskeletal Diseases
"Spondylitis, Ankylosing",C05.550.069.340.500,C05,Musculoskeletal Diseases
Arthralgia,C05.550.091,C05,Musculoskeletal Diseases
Shoulder Pain,C05.550.091.700,C05,Musculoskeletal Diseases
Arthritis,C05.550.114,C05,Musculoskeletal Diseases
"Arthritis, Experimental",C05.550.114.015,C05,Musculoskeletal Diseases
"Arthritis, Infectious",C05.550.114.099,C05,Musculoskeletal Diseases
"Arthritis, Reactive",C05.550.114.099.500,C05,Musculoskeletal Diseases
"Arthritis, Juvenile",C05.550.114.122,C05,Musculoskeletal Diseases
"Arthritis, Psoriatic",C05.550.114.145,C05,Musculoskeletal Diseases
"Arthritis, Rheumatoid",C05.550.114.154,C05,Musculoskeletal Diseases
Caplan Syndrome,C05.550.114.154.219,C05,Musculoskeletal Diseases
Felty Syndrome,C05.550.114.154.389,C05,Musculoskeletal Diseases
Rheumatoid Nodule,C05.550.114.154.683,C05,Musculoskeletal Diseases
Rheumatoid Vasculitis,C05.550.114.154.728,C05,Musculoskeletal Diseases
Sjogren's Syndrome,C05.550.114.154.774,C05,Musculoskeletal Diseases
"Still's Disease, Adult-Onset",C05.550.114.154.870,C05,Musculoskeletal Diseases
Chondrocalcinosis,C05.550.114.264,C05,Musculoskeletal Diseases
Rotator Cuff Tear Arthropathy,C05.550.114.264.500,C05,Musculoskeletal Diseases
Gout,C05.550.114.423,C05,Musculoskeletal Diseases
"Arthritis, Gouty",C05.550.114.423.410,C05,Musculoskeletal Diseases
Osteoarthritis,C05.550.114.606,C05,Musculoskeletal Diseases
"Osteoarthritis, Hip",C05.550.114.606.400,C05,Musculoskeletal Diseases
"Osteoarthritis, Knee",C05.550.114.606.500,C05,Musculoskeletal Diseases
"Osteoarthritis, Spine",C05.550.114.606.750,C05,Musculoskeletal Diseases
Periarthritis,C05.550.114.678,C05,Musculoskeletal Diseases
Rheumatic Fever,C05.550.114.843,C05,Musculoskeletal Diseases
Rheumatic Nodule,C05.550.114.843.566,C05,Musculoskeletal Diseases
Wissler's Syndrome,C05.550.114.843.823,C05,Musculoskeletal Diseases
Sacroiliitis,C05.550.114.854,C05,Musculoskeletal Diseases
Spondylarthritis,C05.550.114.865,C05,Musculoskeletal Diseases
"Osteoarthritis, Spine",C05.550.114.865.399,C05,Musculoskeletal Diseases
Spondylarthropathies,C05.550.114.865.800,C05,Musculoskeletal Diseases
"Arthritis, Psoriatic",C05.550.114.865.800.424,C05,Musculoskeletal Diseases
"Arthritis, Reactive",C05.550.114.865.800.637,C05,Musculoskeletal Diseases
Axial Spondyloarthritis,C05.550.114.865.800.744,C05,Musculoskeletal Diseases
Non-Radiographic Axial Spondyloarthritis,C05.550.114.865.800.744.250,C05,Musculoskeletal Diseases
"Spondylitis, Ankylosing",C05.550.114.865.800.744.500,C05,Musculoskeletal Diseases
Arthrogryposis,C05.550.150,C05,Musculoskeletal Diseases
"Arthropathy, Neurogenic",C05.550.186,C05,Musculoskeletal Diseases
Bursitis,C05.550.251,C05,Musculoskeletal Diseases
Periarthritis,C05.550.251.595,C05,Musculoskeletal Diseases
"Chondromatosis, Synovial",C05.550.287,C05,Musculoskeletal Diseases
Contracture,C05.550.323,C05,Musculoskeletal Diseases
Hip Contracture,C05.550.323.468,C05,Musculoskeletal Diseases
Ischemic Contracture,C05.550.323.734,C05,Musculoskeletal Diseases
Crystal Arthropathies,C05.550.354,C05,Musculoskeletal Diseases
Chondrocalcinosis,C05.550.354.125,C05,Musculoskeletal Diseases
Rotator Cuff Tear Arthropathy,C05.550.354.250,C05,Musculoskeletal Diseases
Gout,C05.550.354.500,C05,Musculoskeletal Diseases
"Arthritis, Gouty",C05.550.354.500.500,C05,Musculoskeletal Diseases
Femoracetabular Impingement,C05.550.384,C05,Musculoskeletal Diseases
Hallux Limitus,C05.550.445,C05,Musculoskeletal Diseases
Hallux Rigidus,C05.550.450,C05,Musculoskeletal Diseases
Hemarthrosis,C05.550.459,C05,Musculoskeletal Diseases
Hydrarthrosis,C05.550.509,C05,Musculoskeletal Diseases
"Joint Deformities, Acquired",C05.550.515,C05,Musculoskeletal Diseases
Joint Dislocations,C05.550.518,C05,Musculoskeletal Diseases
"Diastasis, Bone",C05.550.518.192,C05,Musculoskeletal Diseases
Pubic Symphysis Diastasis,C05.550.518.192.500,C05,Musculoskeletal Diseases
"Diastasis, Muscle",C05.550.518.288,C05,Musculoskeletal Diseases
Fracture Dislocation,C05.550.518.336,C05,Musculoskeletal Diseases
Colles' Fracture,C05.550.518.336.500,C05,Musculoskeletal Diseases
Monteggia's Fracture,C05.550.518.336.750,C05,Musculoskeletal Diseases
Salter-Harris Fractures,C05.550.518.336.875,C05,Musculoskeletal Diseases
Hip Dislocation,C05.550.518.384,C05,Musculoskeletal Diseases
Developmental Dysplasia of the Hip,C05.550.518.384.500,C05,Musculoskeletal Diseases
Knee Dislocation,C05.550.518.500,C05,Musculoskeletal Diseases
Patellar Dislocation,C05.550.518.625,C05,Musculoskeletal Diseases
Shoulder Dislocation,C05.550.518.750,C05,Musculoskeletal Diseases
Joint Instability,C05.550.521,C05,Musculoskeletal Diseases
Joint Loose Bodies,C05.550.535,C05,Musculoskeletal Diseases
Metatarsalgia,C05.550.610,C05,Musculoskeletal Diseases
Morton Neuroma,C05.550.610.500,C05,Musculoskeletal Diseases
Nail-Patella Syndrome,C05.550.629,C05,Musculoskeletal Diseases
"Osteoarthropathy, Primary Hypertrophic",C05.550.648,C05,Musculoskeletal Diseases
"Osteoarthropathy, Secondary Hypertrophic",C05.550.684,C05,Musculoskeletal Diseases
Patellofemoral Pain Syndrome,C05.550.700,C05,Musculoskeletal Diseases
Shoulder Impingement Syndrome,C05.550.840,C05,Musculoskeletal Diseases
Synovitis,C05.550.870,C05,Musculoskeletal Diseases
Giant Cell Tumor of Tendon Sheath,C05.550.870.445,C05,Musculoskeletal Diseases
"Synovitis, Pigmented Villonodular",C05.550.870.445.500,C05,Musculoskeletal Diseases
Temporomandibular Joint Disorders,C05.550.905,C05,Musculoskeletal Diseases
Temporomandibular Joint Dysfunction Syndrome,C05.550.905.905,C05,Musculoskeletal Diseases
Muscular Diseases,C05.651,C05,Musculoskeletal Diseases
Arthrogryposis,C05.651.102,C05,Musculoskeletal Diseases
Compartment Syndromes,C05.651.180,C05,Musculoskeletal Diseases
Anterior Compartment Syndrome,C05.651.180.063,C05,Musculoskeletal Diseases
Chronic Exertional Compartment Syndrome,C05.651.180.180,C05,Musculoskeletal Diseases
Intra-Abdominal Hypertension,C05.651.180.297,C05,Musculoskeletal Diseases
Ischemic Contracture,C05.651.180.531,C05,Musculoskeletal Diseases
Contracture,C05.651.197,C05,Musculoskeletal Diseases
Dupuytren Contracture,C05.651.197.270,C05,Musculoskeletal Diseases
"Fibromatosis, Plantar",C05.651.197.369,C05,Musculoskeletal Diseases
Hip Contracture,C05.651.197.468,C05,Musculoskeletal Diseases
Ischemic Contracture,C05.651.197.734,C05,Musculoskeletal Diseases
Craniomandibular Disorders,C05.651.243,C05,Musculoskeletal Diseases
Temporomandibular Joint Disorders,C05.651.243.897,C05,Musculoskeletal Diseases
Temporomandibular Joint Dysfunction Syndrome,C05.651.243.897.897,C05,Musculoskeletal Diseases
Eosinophilia-Myalgia Syndrome,C05.651.290,C05,Musculoskeletal Diseases
"Fatigue Syndrome, Chronic",C05.651.310,C05,Musculoskeletal Diseases
Fibromyalgia,C05.651.324,C05,Musculoskeletal Diseases
Isaacs Syndrome,C05.651.392,C05,Musculoskeletal Diseases
Medial Tibial Stress Syndrome,C05.651.426,C05,Musculoskeletal Diseases
Mitochondrial Myopathies,C05.651.460,C05,Musculoskeletal Diseases
